Well	Well Name	Ct (dRn)
A7	CYP3A7	19.62
A8	CYP1A4	29.03
A9	UGT1A9	27.18
A10	SULT1B1	24.33
A11	BATF3	26.38
A12	PDK4	21.38
B7	TXN	19.15
B8	ACSL5	23.14
B9	SLCO1A2	28
B10	TTR	25.62
B11	HMOX1	22.4
B12	THRSP	30.15
C7	IGF1	39.35
C8	SULT1E1	22.58
C9	CYP7B1	32.36
C10	FGF19	39.33
C11	ALAS1	16.57
C12	IL16	27.01
D7	MT4L	26.95
D8	SCD	20.99
D9	LBFABP	30.37
D10	CDKN1A	29.25
D11	GADD45A	21.84
D12	MGMT	24.84
E7	NAT	25.85
E8	ALDH1A1	19.83
E9	MSH2	23.31
E10	CRYAB	32.41
E11	FOXA1	25.41
E12	APOB	24.78
F7	POLB	27.61
F8	POLK	27.11
F9	TP63	33.5
F10	C1008572	22.54
F11	LOC420209	28.56
F12	LSS	24.37
G7	AOC1	29.56
G8	MGST3	20.83
G9	LEAP2	30.51
G10	FGA	23.9
G11	MAT1A	24.1
G12	IL1B	30.08
H7	NOS2	27.53
H8	EEF1A1	18.23
H9	RPL4	18.04
H10	GGDC	No Ct
H11	RTC	36.4
H12	PPC	19.32
