Well	Well Name	Ct (dRn)
A7	CYP3A7	22.81
A8	CYP1A4	30.22
A9	UGT1A9	29.07
A10	SULT1B1	26.57
A11	BATF3	27.64
A12	PDK4	23.73
B7	TXN	20.28
B8	ACSL5	24.34
B9	SLCO1A2	31.37
B10	TTR	26.36
B11	HMOX1	24.02
B12	THRSP	33
C7	IGF1	No Ct
C8	SULT1E1	24.15
C9	CYP7B1	33.7
C10	FGF19	No Ct
C11	ALAS1	18.12
C12	IL16	28.3
D7	MT4L	28.4
D8	SCD	23.04
D9	LBFABP	29.51
D10	CDKN1A	30.57
D11	GADD45A	23.75
D12	MGMT	25.84
E7	NAT	26.43
E8	ALDH1A1	20.86
E9	MSH2	24.53
E10	CRYAB	35.05
E11	FOXA1	27.25
E12	APOB	25.39
F7	POLB	29.08
F8	POLK	28.22
F9	TP63	35.01
F10	C1008572	22.67
F11	LOC420209	29.37
F12	LSS	26.63
G7	AOC1	31.06
G8	MGST3	21.87
G9	LEAP2	30.54
G10	FGA	24.65
G11	MAT1A	25.44
G12	IL1B	31.58
H7	NOS2	28.51
H8	EEF1A1	19.84
H9	RPL4	18.92
H10	GGDC	No Ct
H11	RTC	35.61
H12	PPC	20.26
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
