Well	Well Name	Ct (dRn)
A7	CYP3A7	21.87
A8	CYP1A4	30.57
A9	UGT1A9	30.89
A10	SULT1B1	27.62
A11	BATF3	29.01
A12	PDK4	23.6
B7	TXN	20.55
B8	ACSL5	25.8
B9	SLCO1A2	31.29
B10	TTR	28.09
B11	HMOX1	25.81
B12	THRSP	33.19
C7	IGF1	No Ct
C8	SULT1E1	24.89
C9	CYP7B1	36.31
C10	FGF19	38
C11	ALAS1	17.82
C12	IL16	29
D7	MT4L	29.41
D8	SCD	24.42
D9	LBFABP	31.6
D10	CDKN1A	32.76
D11	GADD45A	25.21
D12	MGMT	26.97
E7	NAT	27.46
E8	ALDH1A1	22.23
E9	MSH2	25.44
E10	CRYAB	35.11
E11	FOXA1	28.82
E12	APOB	28.25
F7	POLB	30.46
F8	POLK	30.23
F9	TP63	38.18
F10	C1008572	24.71
F11	LOC420209	31.14
F12	LSS	28.39
G7	AOC1	33.82
G8	MGST3	22.36
G9	LEAP2	33.41
G10	FGA	27.59
G11	MAT1A	26.31
G12	IL1B	33.38
H7	NOS2	29.48
H8	EEF1A1	21.79
H9	RPL4	19.94
H10	GGDC	No Ct
H11	RTC	No Ct
H12	PPC	20.31
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
