Well	Well Name	Ct (dRn)
A7	CYP3A7	23.01
A8	CYP1A4	29.68
A9	UGT1A9	31.49
A10	SULT1B1	26.95
A11	BATF3	28.2
A12	PDK4	23.76
B7	TXN	19.68
B8	ACSL5	25.15
B9	SLCO1A2	31.51
B10	TTR	26.74
B11	HMOX1	25.07
B12	THRSP	33.25
C7	IGF1	35.79
C8	SULT1E1	24.84
C9	CYP7B1	34.38
C10	FGF19	No Ct
C11	ALAS1	17.36
C12	IL16	29.06
D7	MT4L	28.26
D8	SCD	24.3
D9	LBFABP	29.27
D10	CDKN1A	30.87
D11	GADD45A	24.23
D12	MGMT	26.49
E7	NAT	26.37
E8	ALDH1A1	20.98
E9	MSH2	24.56
E10	CRYAB	33.56
E11	FOXA1	28.5
E12	APOB	27.26
F7	POLB	29.87
F8	POLK	29.71
F9	TP63	35.96
F10	C1008572	23.36
F11	LOC420209	29.85
F12	LSS	27.55
G7	AOC1	32.4
G8	MGST3	21.78
G9	LEAP2	31.91
G10	FGA	26.16
G11	MAT1A	26.14
G12	IL1B	32.9
H7	NOS2	27.84
H8	EEF1A1	21.11
H9	RPL4	19.49
H10	GGDC	36.56
H11	RTC	39.11
H12	PPC	18.65
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
