Well	Well Name	Ct (dRn)
A7	CYP3A7	25.19
A8	CYP1A4	33.71
A9	UGT1A9	30.99
A10	SULT1B1	28.15
A11	BATF3	27.87
A12	PDK4	25.43
B7	TXN	20.91
B8	ACSL5	24.71
B9	SLCO1A2	33.87
B10	TTR	24.95
B11	HMOX1	25.42
B12	THRSP	35.3
C7	IGF1	36.25
C8	SULT1E1	24.65
C9	CYP7B1	34.4
C10	FGF19	No Ct
C11	ALAS1	22.04
C12	IL16	29.9
D7	MT4L	28.59
D8	SCD	22.62
D9	LBFABP	26.78
D10	CDKN1A	33.36
D11	GADD45A	25.43
D12	MGMT	26.75
E7	NAT	26.89
E8	ALDH1A1	19.66
E9	MSH2	24.96
E10	CRYAB	35.43
E11	FOXA1	25.97
E12	APOB	24.43
F7	POLB	30.29
F8	POLK	28.4
F9	TP63	36.32
F10	C1008572	22.62
F11	LOC420209	30.11
F12	LSS	28.04
G7	AOC1	32.28
G8	MGST3	22.31
G9	LEAP2	29.99
G10	FGA	25.61
G11	MAT1A	25.2
G12	IL1B	32.57
H7	NOS2	29.5
H8	EEF1A1	21.44
H9	RPL4	19.5
H10	GGDC	37.8
H11	RTC	37.74
H12	PPC	20.27
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
