Well	Well Name	Ct (dRn)
A7	CYP3A7	21.3
A8	CYP1A4	29.97
A9	UGT1A9	27.99
A10	SULT1B1	25.88
A11	BATF3	27.12
A12	PDK4	23.16
B7	TXN	20.16
B8	ACSL5	23.98
B9	SLCO1A2	30.13
B10	TTR	25.84
B11	HMOX1	23.44
B12	THRSP	31.83
C7	IGF1	38.47
C8	SULT1E1	23.69
C9	CYP7B1	32.86
C10	FGF19	No Ct
C11	ALAS1	17.12
C12	IL16	28.14
D7	MT4L	27.99
D8	SCD	21.62
D9	LBFABP	29.15
D10	CDKN1A	30
D11	GADD45A	23.14
D12	MGMT	25.67
E7	NAT	26.7
E8	ALDH1A1	20.46
E9	MSH2	24.07
E10	CRYAB	34.49
E11	FOXA1	25.82
E12	APOB	24.92
F7	POLB	28.59
F8	POLK	27.61
F9	TP63	34.53
F10	C1008572	22.82
F11	LOC420209	29.26
F12	LSS	25.79
G7	AOC1	31.31
G8	MGST3	21.75
G9	LEAP2	30.55
G10	FGA	24.31
G11	MAT1A	24.96
G12	IL1B	31.23
H7	NOS2	29.49
H8	EEF1A1	19.15
H9	RPL4	18.73
H10	GGDC	No Ct
H11	RTC	38.67
H12	PPC	19.99
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
