Well	Well Name	Ct (dRn)
A7	CYP3A7	19.97
A8	CYP1A4	28.3
A9	UGT1A9	27.75
A10	SULT1B1	25.25
A11	BATF3	26.35
A12	PDK4	22.23
B7	TXN	19.35
B8	ACSL5	23.68
B9	SLCO1A2	29.54
B10	TTR	25.22
B11	HMOX1	22.78
B12	THRSP	31.57
C7	IGF1	No Ct
C8	SULT1E1	22.9
C9	CYP7B1	32.96
C10	FGF19	34.76
C11	ALAS1	15.82
C12	IL16	27.88
D7	MT4L	26.96
D8	SCD	21.36
D9	LBFABP	28.97
D10	CDKN1A	29
D11	GADD45A	22.12
D12	MGMT	24.86
E7	NAT	25.75
E8	ALDH1A1	19.85
E9	MSH2	23.15
E10	CRYAB	32.33
E11	FOXA1	25.66
E12	APOB	24.69
F7	POLB	27.82
F8	POLK	27.27
F9	TP63	33.97
F10	C1008572	22.45
F11	LOC420209	28.85
F12	LSS	25.08
G7	AOC1	30.06
G8	MGST3	20.95
G9	LEAP2	30.13
G10	FGA	23.69
G11	MAT1A	24.54
G12	IL1B	30.26
H7	NOS2	27.69
H8	EEF1A1	18.37
H9	RPL4	17.93
H10	GGDC	35.81
H11	RTC	35.84
H12	PPC	18.96
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
