Well	Well Name	Ct (dRn)
A7	CYP3A7	24.06
A8	CYP1A4	31.88
A9	UGT1A9	31.97
A10	SULT1B1	28.48
A11	BATF3	30.1
A12	PDK4	25.33
B7	TXN	21.37
B8	ACSL5	27.33
B9	SLCO1A2	32.53
B10	TTR	29.47
B11	HMOX1	27.02
B12	THRSP	36.28
C7	IGF1	No Ct
C8	SULT1E1	26.22
C9	CYP7B1	37.01
C10	FGF19	36.52
C11	ALAS1	18.89
C12	IL16	30.63
D7	MT4L	30.6
D8	SCD	25.46
D9	LBFABP	32.51
D10	CDKN1A	32.23
D11	GADD45A	25.98
D12	MGMT	27.92
E7	NAT	28.33
E8	ALDH1A1	23.31
E9	MSH2	26.47
E10	CRYAB	36.38
E11	FOXA1	29.54
E12	APOB	29.04
F7	POLB	31.54
F8	POLK	31.39
F9	TP63	38.08
F10	C1008572	25.13
F11	LOC420209	31.23
F12	LSS	28.85
G7	AOC1	34.32
G8	MGST3	23.16
G9	LEAP2	33.64
G10	FGA	28.27
G11	MAT1A	27.66
G12	IL1B	33.86
H7	NOS2	30.62
H8	EEF1A1	22.53
H9	RPL4	25.53
H10	GGDC	No Ct
H11	RTC	No Ct
H12	PPC	20.24
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
