Well	Well Name	Ct (dRn)
A7	CYP3A7	19.24
A8	CYP1A4	27.29
A9	UGT1A9	26.93
A10	SULT1B1	24.65
A11	BATF3	25.61
A12	PDK4	21.13
B7	TXN	18.55
B8	ACSL5	22.84
B9	SLCO1A2	29.05
B10	TTR	24.59
B11	HMOX1	22.21
B12	THRSP	30.92
C7	IGF1	34.59
C8	SULT1E1	22.23
C9	CYP7B1	31.12
C10	FGF19	33.42
C11	ALAS1	14.73
C12	IL16	26.72
D7	MT4L	26.36
D8	SCD	20.27
D9	LBFABP	27.9
D10	CDKN1A	28.53
D11	GADD45A	21.35
D12	MGMT	24.07
E7	NAT	25.05
E8	ALDH1A1	19.05
E9	MSH2	22.33
E10	CRYAB	32.65
E11	FOXA1	24.31
E12	APOB	23.9
F7	POLB	27.28
F8	POLK	26.26
F9	TP63	32.42
F10	C1008572	21.87
F11	LOC420209	27.69
F12	LSS	24.6
G7	AOC1	30.22
G8	MGST3	20.15
G9	LEAP2	29.54
G10	FGA	23.03
G11	MAT1A	23.57
G12	IL1B	29.56
H7	NOS2	26.51
H8	EEF1A1	18.09
H9	RPL4	17.19
H10	GGDC	No Ct
H11	RTC	37.24
H12	PPC	18.54
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
