Well	Well Name	Ct (dRn)
A7	CYP3A7	20.44
A8	CYP1A4	30.46
A9	UGT1A9	28.61
A10	SULT1B1	25.52
A11	BATF3	27.72
A12	PDK4	22.41
B7	TXN	20.02
B8	ACSL5	24.38
B9	SLCO1A2	28.97
B10	TTR	26.84
B11	HMOX1	24.46
B12	THRSP	31.18
C7	IGF1	36.12
C8	SULT1E1	23.63
C9	CYP7B1	33.7
C10	FGF19	No Ct
C11	ALAS1	17.2
C12	IL16	27.9
D7	MT4L	28.87
D8	SCD	22.83
D9	LBFABP	30.88
D10	CDKN1A	32.35
D11	GADD45A	23.62
D12	MGMT	25.92
E7	NAT	26.81
E8	ALDH1A1	20.95
E9	MSH2	24.39
E10	CRYAB	31.95
E11	FOXA1	26.66
E12	APOB	26.6
F7	POLB	29.59
F8	POLK	28.84
F9	TP63	34.69
F10	C1008572	23.91
F11	LOC420209	29.65
F12	LSS	28.5
G7	AOC1	31.2
G8	MGST3	21.79
G9	LEAP2	31.93
G10	FGA	25.92
G11	MAT1A	25.31
G12	IL1B	30.82
H7	NOS2	28.51
H8	EEF1A1	21.21
H9	RPL4	19.19
H10	GGDC	37.21
H11	RTC	36.18
H12	PPC	19.41
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
