Well	Well Name	Ct (dRn)
A7	CYP3A7	24.54
A8	CYP1A4	32.49
A9	UGT1A9	29.87
A10	SULT1B1	27.92
A11	BATF3	27.4
A12	PDK4	24.95
B7	TXN	20.96
B8	ACSL5	24.15
B9	SLCO1A2	34.47
B10	TTR	24.69
B11	HMOX1	24.59
B12	THRSP	32.89
C7	IGF1	37.41
C8	SULT1E1	24.62
C9	CYP7B1	34.39
C10	FGF19	No Ct
C11	ALAS1	21.89
C12	IL16	28.79
D7	MT4L	28.69
D8	SCD	22.1
D9	LBFABP	26.93
D10	CDKN1A	31.38
D11	GADD45A	24.56
D12	MGMT	26.54
E7	NAT	26.85
E8	ALDH1A1	19.52
E9	MSH2	24.77
E10	CRYAB	36.36
E11	FOXA1	25.7
E12	APOB	23.63
F7	POLB	28.98
F8	POLK	27.84
F9	TP63	34.8
F10	C1008572	22.62
F11	LOC420209	29.87
F12	LSS	27.06
G7	AOC1	31.45
G8	MGST3	22.37
G9	LEAP2	29.76
G10	FGA	24.9
G11	MAT1A	24.7
G12	IL1B	31.73
H7	NOS2	29
H8	EEF1A1	20.76
H9	RPL4	19.45
H10	GGDC	No Ct
H11	RTC	No Ct
H12	PPC	20.31
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
