Well	Well Name	Ct (dRn)
A7	CYP3A7	21.69
A8	CYP1A4	29.11
A9	UGT1A9	28.88
A10	SULT1B1	25.46
A11	BATF3	26.36
A12	PDK4	22.59
B7	TXN	18.87
B8	ACSL5	23.18
B9	SLCO1A2	30.28
B10	TTR	24.98
B11	HMOX1	23.19
B12	THRSP	32.05
C7	IGF1	34.73
C8	SULT1E1	23.01
C9	CYP7B1	33.94
C10	FGF19	39.32
C11	ALAS1	16.93
C12	IL16	27.43
D7	MT4L	26.61
D8	SCD	22.57
D9	LBFABP	28.07
D10	CDKN1A	29.49
D11	GADD45A	23.16
D12	MGMT	24.73
E7	NAT	25.3
E8	ALDH1A1	19.58
E9	MSH2	23.34
E10	CRYAB	33.4
E11	FOXA1	27.08
E12	APOB	24.96
F7	POLB	28.03
F8	POLK	27.81
F9	TP63	36.01
F10	C1008572	21.44
F11	LOC420209	27.99
F12	LSS	26.01
G7	AOC1	30.66
G8	MGST3	20.53
G9	LEAP2	29.66
G10	FGA	24.16
G11	MAT1A	24.28
G12	IL1B	30.72
H7	NOS2	27.35
H8	EEF1A1	18.8
H9	RPL4	17.62
H10	GGDC	No Ct
H11	RTC	36.02
H12	PPC	18.81
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
